label,value
Adani Ports,ADANIPORTS.NS
Apollo Hospitals,APOLLOHOSP.NS
Asian Paints,ASIANPAINT.NS
Axis Bank,AXISBANK.NS
Bajaj Auto,BAJAJ-AUTO.NS
Bajaj Finance,BAJFINANCE.NS
Bajaj Finserv,BAJAJFINSV.NS
Bharti Airtel,BHARTIARTL.NS
BPCL,BPCL.NS
Britannia,BRITANNIA.NS
Cipla,CIPLA.NS
Coal India,COALINDIA.NS
Divi's Lab,DIVISLAB.NS
Dr Reddy's,DRREDDY.NS
Eicher Motors,EICHERMOT.NS
Grasim Industries,GRASIM.NS
HCL Technologies,HCLTECH.NS
HDFC Bank,HDFCBANK.NS
HDFC Life,HDFCLIFE.NS
Hero MotoCorp,HEROMOTOCO.NS
Hindalco,HINDALCO.NS
Hindustan Unilever,HINDUNILVR.NS
ICICI Bank,ICICIBANK.NS
IndusInd Bank,INDUSINDBK.NS
Infosys,INFY.NS
ITC,ITC.NS
JSW Steel,JSWSTEEL.NS
Kotak Mahindra Bank,KOTAKBANK.NS
Larsen & Toubro,LT.NS
Mahindra & Mahindra,M&M.NS
Maruti Suzuki,MARUTI.NS
Nestle India,NESTLEIND.NS
NTPC,NTPC.NS
ONGC,ONGC.NS
Power Grid,POWERGRID.NS
Reliance Industries,RELIANCE.NS
SBI Life,SBILIFE.NS
State Bank of India,SBIN.NS
Sun Pharma,SUNPHARMA.NS
Tata Consumer,TATACONSUM.NS
Tata Motors,TATAMOTORS.NS
Tata Steel,TATASTEEL.NS
TCS,TCS.NS
Tech Mahindra,TECHM.NS
Titan,TITAN.NS
UltraTech Cement,ULTRACEMCO.NS
UPL,UPL.NS
Wipro,WIPRO.NS
